Code,종목명,매수일,매도일,매수가,매도가,수익률(%)
005930,삼성전자,2026-04-09,2026-04-16,204000,217500,6.62
000660,SK하이닉스,2025-09-09,2025-09-16,288000,348000,20.83
005935,삼성전자우,2026-02-13,2026-02-25,127600,142300,11.52
402340,SK스퀘어,2025-11-11,2025-11-18,311500,283500,-8.99
373220,LG에너지솔루션,2025-10-14,2025-10-21,385000,437000,13.51
373220,LG에너지솔루션,2026-02-25,2026-03-05,426000,371500,-12.79
373220,LG에너지솔루션,2026-04-09,2026-04-16,421000,416000,-1.19
005380,현대차,2025-12-02,2025-12-09,266000,307000,15.41
005380,현대차,2026-04-16,2026-04-23,534000,532000,-0.37
034020,두산에너빌리티,2026-02-13,2026-02-25,96700,103200,6.72
034020,두산에너빌리티,2026-04-16,2026-04-23,110800,122600,10.65
012450,한화에어로스페이스,2026-03-05,2026-03-12,1381000,1465000,6.08
329180,HD현대중공업,2025-10-21,2025-10-28,563000,594000,5.51
207940,삼성바이오로직스,2025-09-09,2025-09-16,1532085,1524727,-0.48
009150,삼성전기,2025-09-02,2025-09-09,169900,180300,6.12
009150,삼성전기,2025-11-25,2025-12-02,241500,252000,4.35
000270,기아,2026-01-09,2026-01-16,133200,151100,13.44
006400,삼성SDI,2025-10-14,2025-10-21,220000,259000,17.73
006400,삼성SDI,2026-04-02,2026-04-09,443000,480000,8.35
032830,삼성생명,2025-10-14,2025-10-21,167000,159700,-4.37
032830,삼성생명,2026-01-16,2026-01-23,170600,185100,8.5
267260,HD현대일렉트릭,2026-04-09,2026-04-16,980000,1085000,10.71
055550,신한지주,2025-12-02,2025-12-09,81400,78400,-3.69
055550,신한지주,2026-01-23,2026-01-30,83900,84300,0.48
010120,LS ELECTRIC,2025-10-14,2025-10-21,58900,62200,5.6
010120,LS ELECTRIC,2025-10-21,2025-10-28,62200,76900,23.63
042660,한화오션,2025-10-21,2025-10-28,120700,131500,8.95
042660,한화오션,2025-12-23,2026-01-02,123400,114700,-7.05
005490,POSCO홀딩스,2026-01-16,2026-01-23,331500,368000,11.01
006800,미래에셋증권,2025-10-21,2025-10-28,23896,25837,8.12
006800,미래에셋증권,2025-12-23,2026-01-02,23796,24543,3.14
012330,현대모비스,2025-10-21,2025-10-28,308500,304500,-1.3
012330,현대모비스,2025-12-02,2025-12-09,317000,359000,13.25
012330,현대모비스,2026-01-09,2026-01-16,399500,431000,7.88
012330,현대모비스,2026-02-25,2026-03-05,469500,432000,-7.99
042700,한미반도체,2025-09-16,2025-09-23,93300,96000,2.89
042700,한미반도체,2025-12-23,2026-01-02,127000,144500,13.78
010130,고려아연,2026-01-16,2026-01-23,1585000,1580000,-0.32
009540,HD한국조선해양,2025-10-21,2025-10-28,438500,460000,4.9
009540,HD한국조선해양,2026-01-09,2026-01-16,447000,438500,-1.9
035420,NAVER,2026-01-02,2026-01-09,247000,254000,2.83
035420,NAVER,2026-01-23,2026-01-30,266000,275000,3.38
051910,LG화학,2025-09-09,2025-09-16,293000,288000,-1.71
051910,LG화학,2025-10-14,2025-10-21,296500,346000,16.69
051910,LG화학,2026-01-23,2026-01-30,358000,310500,-13.27
051910,LG화학,2026-04-09,2026-04-16,355000,357500,0.7
064350,현대로템,2026-01-30,2026-02-06,230500,202500,-12.15
015760,한국전력,2025-10-14,2025-10-21,37700,43850,16.31
015760,한국전력,2025-11-11,2025-11-18,49550,49500,-0.1
015760,한국전력,2026-01-23,2026-01-30,61200,58300,-4.74
010140,삼성중공업,2025-10-21,2025-10-28,23700,29950,26.37
010140,삼성중공업,2025-12-09,2025-12-16,27050,24900,-7.95
010140,삼성중공업,2026-03-12,2026-03-19,30850,28500,-7.62
000150,두산,2025-10-14,2025-10-21,581000,749000,28.92
000150,두산,2026-04-09,2026-04-16,1295000,1335000,3.09
316140,우리금융지주,2025-09-16,2025-09-23,26750,26450,-1.12
