Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
081660,미스토홀딩스,"섬유,의류,신발,호화품",43900,40350.0,39117.5,4.3,12.85,23307,◎ 강한신호(거래량 4.3배)
093370,후성,화학,15770,13682.0,12381.5,3.38,37.61,16914,◎ 강한신호(거래량 3.4배)
279570,케이뱅크,은행,6220,5810.0,5613.5,3.31,11.27,25234,◎ 강한신호(거래량 3.3배)
012750,에스원,상업서비스와공급품,76700,72820.0,71540.0,2.77,3.65,29145,○ 양호(거래량 2.8배)
023530,롯데쇼핑,백화점과일반상점,202000,184000.0,165410.0,1.83,17.44,57143,△ 보통(거래량 1.8배)
251270,넷마블,게임엔터테인먼트,43050,41140.0,42325.0,1.76,-1.82,35273,△ 보통(거래량 1.8배)
002380,KCC,건축자재,490500,501400.0,534825.0,1.75,-15.28,42148,△ 보통(거래량 1.8배)
033780,KT&G,담배,185100,182200.0,181805.0,1.65,5.29,192153,△ 보통(거래량 1.6배)
007660,이수페타시스,전자장비와기기,123200,115720.0,126910.0,1.63,-7.85,90440,△ 보통(거래량 1.6배)
323410,카카오뱅크,은행,23400,23670.0,22647.5,1.5,3.77,111646,△ 보통(거래량 1.5배)
