Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
000660,SK하이닉스,반도체와반도체장비,20803782,2919000,5179795,28.2,44.15,,◎ 대장주(#1)
005930,삼성전자,반도체와반도체장비,20666595,353500,24330451,28.57,10.85,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2599580,1970000,1416660,16.73,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1797311,224000,3735142,18.11,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1664176,2228000,864651,210.45,7.7,,○ 우량주(#5)
005380,현대차,자동차,1189643,581000,962320,17.91,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,901000,450500,539124,31.38,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,843271,520000,799994,34.87,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,667553,636000,319861,31.43,18.82,,△ 중대형(#9)
034020,두산에너빌리티,기계,603409,94200,2146567,390.87,1.11,,△ 중대형(#10)
