Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
006360,GS건설,건설,29650,22.02,4.4,2.95,52.0,38.91,24.96,25375,◎ 강세
090430,아모레퍼시픽,화장품,119400,22.21,7.37,2.43,56.9,35.33,24.64,69840,◎ 강세
078930,GS,석유와가스,76900,19.78,0.79,1.8,55.2,5.53,21.58,71437,◎ 강세
002790,아모레퍼시픽홀딩스,화장품,24150,15.83,8.3,1.96,47.5,18.41,17.79,18465,◎ 강세
111770,영원무역,"섬유,의류,신발,호화품",83100,14.31,1.84,2.61,50.3,6.65,16.91,36823,◎ 강세
192820,코스맥스,화장품,167300,12.96,-1.76,1.72,48.9,12.13,14.68,18988,◎ 강세
007070,GS리테일,백화점과일반상점,25050,12.33,7.05,1.53,52.3,26.26,13.86,20944,◎ 강세
026960,동서,식품,25550,9.89,4.93,2.76,50.3,17.67,12.65,25473,◎ 강세
004370,농심,식품,362000,9.04,-6.82,1.71,42.0,12.33,10.75,22019,○ 양호
006040,동원산업,식품,33450,7.9,-1.62,2.01,48.7,3.47,9.92,14765,○ 양호
