Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
348950,제이알글로벌리츠,부동산,26.23,310.0,5.52,1.35,1182,2333,◎ 초고배당(26.2%)
432320,KB스타리츠,부동산,22.83,312.0,-1.26,-7.28,1354,2041,◎ 초고배당(22.8%)
017800,현대엘리베이터,기계,19.43,14010.0,11.08,20.11,71800,28068,◎ 초고배당(19.4%)
381970,케이카,자동차,14.22,1200.0,8.79,22.63,8430,4116,◎ 초고배당(14.2%)
377190,디앤디플랫폼리츠,부동산,12.33,240.0,28.2,1.67,1946,1720,◎ 초고배당(12.3%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.53,500.0,-7.9,-6.86,4335,1734,◎ 초고배당(11.5%)
400760,NH올원리츠,부동산,10.74,316.0,368.12,0.72,2905,1596,◎ 초고배당(10.7%)
088260,이리츠코크렙,부동산,10.35,350.0,15.36,3.17,3385,2144,◎ 초고배당(10.3%)
092790,넥스틸,철강,10.04,1155.0,15.93,7.76,11530,2998,◎ 초고배당(10.0%)
334890,이지스밸류플러스리츠,부동산,9.46,330.0,18.34,2.89,3475,2413,◎ 초고배당(9.5%)
