Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.27,36.85,5730,1031,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.74,31.51,2620,1311,0.064,◎ 매우 저평가
016880,웅진,출판,3.29,96.89,1950,1559,0.094,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.99,23.71,39000,1510,0.106,◎ 매우 저평가
136490,선진,식품,1.97,23.5,9350,2223,0.113,◎ 매우 저평가
002380,KCC,건축자재,2.31,23.51,444500,38195,0.121,◎ 매우 저평가
001450,현대해상,손해보험,3.06,20.6,36050,30732,0.188,○ 저평가
015760,한국전력,전기유틸리티,2.59,19.4,35200,225971,0.195,○ 저평가
096760,JW홀딩스,제약,3.97,23.57,3705,2739,0.23,○ 저평가
023590,다우기술,증권,2.58,15.95,35350,15302,0.255,○ 저평가
