섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.24,14.27,,36005347
은행,11,11.48,7.87,,2191929
자동차,10,8.52,9.16,15.27,1651572
조선,14,0.59,22.5,,1573470
전자장비와기기,20,32.39,0.59,,1507419
제약,62,1.99,4.53,,1451546
복합기업,17,45.74,2.65,,1242252
전기제품,11,7.54,-9.42,,1212389
전기장비,14,54.31,16.91,,1204184
우주항공과국방,8,43.25,18.71,,1141076
증권,33,8.46,8.4,,1008552
석유와가스,12,9.5,-0.77,,890876
자동차부품,73,4.82,5.42,,810855
생명보험,4,15.98,5.94,,758278
화학,72,-52.39,5.75,9.01,751073
기계,22,15.02,3.12,20.16,722963
손해보험,11,10.32,12.67,,509372
양방향미디어와서비스,3,20.14,5.08,,458146
IT서비스,14,32.52,7.52,,457691
건설,39,14.35,6.81,,414168
화장품,19,10.84,15.5,,363597
철강,36,2.63,0.72,15.26,358291
식품,52,2.25,1.25,,342268
전자제품,4,-24.95,4.36,,310049
전기유틸리티,4,59.38,11.65,,295856
비철금속,26,6.87,3.38,,275455
무선통신서비스,3,32.04,4.67,,254471
백화점과일반상점,12,24.62,1.63,,234265
해운사,8,14.44,7.94,,228459
게임엔터테인먼트,5,10.58,11.92,,227813
항공사,8,7.27,-83.43,,215123
"섬유,의류,신발,호화품",45,15.68,5.45,10.07,184023
담배,1,17.09,11.77,,180111
항공화물운송과물류,10,-2.23,7.48,,170501
에너지장비및서비스,10,-4.2,2.08,,153772
기타,25,,,,143511
다각화된통신서비스,1,8.85,10.22,,136596
무역회사와판매업체,7,12.94,84.01,,125937
방송과엔터테인먼트,8,54.27,-2.5,8.33,110589
부동산,28,32.86,1.34,16.04,95693
가정용기기와용품,5,7.0,13.41,,87382
건축자재,31,1.37,3.39,,86436
"호텔,레스토랑,레저",10,11.48,7.07,,80042
가스유틸리티,11,5.6,7.33,,73892
운송인프라,3,5.75,10.46,,64987
카드,1,9.08,7.45,,56076
디스플레이패널,2,-67.55,3.44,,55560
상업서비스와공급품,9,13.39,9.04,,43008
소프트웨어,2,23.1,10.78,,36131
광고,3,7.89,10.32,8.87,30148
통신장비,3,37.42,8.28,,29215
음료,9,2.4,3.71,,25515
포장재,16,-11.5,2.8,,23856
도로와철도운송,5,-4.17,-7.55,,21100
건강관리장비와용품,5,12.53,-4.92,,17963
가구,7,18.6,4.35,,15084
핸드셋,3,-11.82,4.47,,13062
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.43,14.84,9.14,7804
디스플레이장비및부품,3,-104.14,-3.54,,7628
종이와목재,10,88.74,-4.28,8.8,6789
사무용전자제품,1,15.89,1.88,,4061
창업투자,1,13.65,5.99,,2943
교육서비스,4,-2.48,-12.33,14.04,2321
건축제품,4,-3.93,-11.82,,2282
출판,2,3.35,96.89,,2207
건강관리업체및서비스,1,4.4,11.08,,1878
식품과기본식료품소매,2,2.97,11.89,,1629
레저용장비와제품,2,4.09,6.36,,1457
전문소매,1,-16.11,-0.26,,1457
가정용품,2,,,,1210
생물공학,2,,,,1008
판매업체,2,,,,874
컴퓨터와주변기기,2,,,,606
문구류,1,,,,405
