Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
462870,시프트업,게임엔터테인먼트,29950,16.94,-0.17,9.18,22.71,17593,◎ 극과매도(RSI 17)
023530,롯데쇼핑,백화점과일반상점,117200,18.82,-12.8,20.27,0.34,33154,◎ 극과매도(RSI 19)
069960,현대백화점,백화점과일반상점,118900,20.36,-14.52,12.94,4.64,25641,○ 과매도(RSI 20)
011070,LG이노텍,전자장비와기기,458000,22.52,-29.21,22.36,6.14,108395,○ 과매도(RSI 23)
009420,한올바이오파마,제약,41700,24.93,-13.12,-429.9,-3.37,21784,○ 과매도(RSI 25)
005380,현대차,자동차,353500,25.45,-15.43,10.9,8.41,723819,△ 약과매도(RSI 25)
034220,LG디스플레이,디스플레이패널,8570,25.86,-15.23,-52.58,3.44,42850,△ 약과매도(RSI 26)
302440,SK바이오사이언스,제약,32500,26.41,-0.76,-30.6,-3.2,25498,△ 약과매도(RSI 26)
352820,하이브,방송과엔터테인먼트,170300,26.48,-14.68,-15.74,-7.33,73411,△ 약과매도(RSI 26)
008770,호텔신라,백화점과일반상점,43600,27.43,-7.82,-10.85,-14.46,17112,△ 약과매도(RSI 27)
